path,label
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_14_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_33_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_36_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_10_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_18_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_42_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_25_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_4_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_31_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_17_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_33_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_35_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_11_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_39_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_22_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_17_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_22_N.wav,0
